article_id,title,company_name,published_date,category,revenue,summary,url,author,word_count,company_id,match_type,arr_usd,published_date_clean,year,quarter,month,category_standardized,industry,founded_year,headquarters,employee_count,is_public,stock_ticker,company_age,company_size_category,is_ai_related,top_similar_articles
ART0001,Scale AI Raises Series D Funding Round,Scale AI,21 Feb 2020,Financial Technology,,The company demonstrated significant advances in model performance and efficiency.,https://technews.example.com/articles/1,John Smith,2569.0,Scale AI,exact,,2020-02-21,2020,1,2,Financial Technology,AI/ML,2003,"Berlin, Germany",23379,False,,17,Medium,True,"['ART0072', 'ART0219', 'ART0359']"
ART0002,DataRobot Announces Breakthrough in Large Language Models,DataRobot,02/23/2023,Software,"£244,094,488",Strategic acquisition strengthens competitive position and technology capabilities.,https://technews.example.com/articles/2,Alex Johnson,1878.0,DataRobot,exact,309999999.0,2023-02-23,2023,1,2,Software,Cloud Computing,2012,"New York, NY",23471,True,,11,Medium,False,"['ART0533', 'ART0110', 'ART0345']"
ART0003,Meta AI Raises Series D Funding Round,Meta AI,2022-02-17,Analytics,,Leadership outlines vision for responsible AI development and deployment.,https://technews.example.com/articles/3,John Smith,1981.0,Meta AI,exact,,2022-02-17,2022,1,2,Data Analytics,Data Analytics,2001,"Seattle, WA",20240,True,,21,Medium,False,"['ART0415', 'ART0359', 'ART0084']"
ART0004,Confluent Reports Record Revenue Growth,Confluent,2023-12-13,Artificial Intelligence,$980.0M,Investors show strong confidence in the company's growth trajectory and market position.,https://technews.example.com/articles/4,Sam Wilson,1994.0,Confluent,exact,980000000.0,2023-12-13,2023,4,12,Artificial Intelligence,Cloud Computing,1995,"London, UK",3884,False,,28,Small,True,"['ART0718', 'ART0747', 'ART0335']"
ART0005,Amazon Web Services Acquires Competitor for Undisclosed Sum,Amazon Web Services,12/28/2021,Financial Technology,Not disclosed,Leadership outlines vision for responsible AI development and deployment.,https://technews.example.com/articles/5,Alex Johnson,2781.0,Amazon Web Services,exact,,2021-12-28,2021,4,12,Financial Technology,SaaS,2015,"Berlin, Germany",27826,False,,6,Medium,False,"['ART0623', 'ART0473', 'ART0601']"
ART0006,NVIDIA Achieves Profitability Milestone,NVIDIA,2021-10-26,FinTech,$16.800B,Financial results exceed analyst expectations across all key metrics.,https://technews.example.com/articles/6,,1788.0,NVIDIA,exact,16800000000.0,2021-10-26,2021,4,10,Financial Technology,AI/ML,2017,"London, UK",22031,False,,4,Medium,True,"['ART0613', 'ART0737', 'ART0529']"
ART0007,Tesla Achieves Profitability Milestone,Tesla,"October 19, 2022",Security,75000.0M USD,Leadership outlines vision for responsible AI development and deployment.,https://technews.example.com/articles/7,,1398.0,Tesla,exact,75000000000.0,2022-10-19,2022,4,10,Cyber Security,Cloud Computing,2008,"London, UK",5691,True,,14,Small,False,"['ART0677', 'ART0640', 'ART0406']"
ART0008,Microsoft Releases Open Source Framework,Microsoft,2022-10-07,Artificial Intelligence,,Leadership outlines vision for responsible AI development and deployment.,https://technews.example.com/articles/8,Sam Wilson,2417.0,Microsoft,exact,,2022-10-07,2022,4,10,Artificial Intelligence,Data Analytics,2018,"Austin, TX",48646,False,,4,Large,True,"['ART0428', 'ART0501', 'ART0102']"
ART0009,MongoDB Expands into European Market,MongoDB,2023-02-07,AI & ML,$1.480 billion,Leadership outlines vision for responsible AI development and deployment.,https://technews.example.com/articles/9,Jane Doe,1578.0,MongoDB,exact,1480000000.0,2023-02-07,2023,1,2,Artificial Intelligence,SaaS,2008,"Austin, TX",16952,False,MONG,15,Medium,True,"['ART0412', 'ART0090', 'ART0585']"
ART0010,MongoDB Launches New AI-Powered Product,MongoDB,2022-11-05,Finance,"€1,254,545,455",New product features leverage cutting-edge AI technology to solve customer problems.,https://technews.example.com/articles/10,,2672.0,MongoDB,exact,1380000000.0,2022-11-05,2022,4,11,Financial Technology,SaaS,2008,"Austin, TX",16952,False,MONG,14,Medium,False,"['ART0526', 'ART0732', 'ART0265']"
ART0011,OpenAI Faces Regulatory Scrutiny,OpenAI,"October 25, 2021",AI/ML,$320.0M,Regulatory concerns focus on data privacy and market competition issues.,https://technews.example.com/articles/11,John Smith,,OpenAI,exact,320000000.0,2021-10-25,2021,4,10,Artificial Intelligence,Data Analytics,2006,"Austin, TX",12793,False,OPEN,15,Medium,True,"['ART0714', 'ART0134', 'ART0088']"
ART0012,Cloudflare Raises Series D Funding Round,Cloudflare,12/26/2022,Cloud Computing,,Community contribution aims to accelerate innovation and adoption.,https://technews.example.com/articles/12,,1776.0,Cloudflare,exact,,2022-12-26,2022,4,12,Cloud Computing,Cybersecurity,1998,"Austin, TX",4422,False,CLOU,24,Small,False,"['ART0653', 'ART0474', 'ART0580']"
ART0013,Uber Achieves Profitability Milestone,Uber,23-08-2023,Security,$32.000B,Strategic acquisition strengthens competitive position and technology capabilities.,https://technews.example.com/articles/13,John Smith,1442.0,Uber,exact,32000000000.0,2023-08-23,2023,3,8,Cyber Security,FinTech,2015,"San Francisco, CA",10144,False,UBER,8,Medium,False,"['ART0286', 'ART0445', 'ART0705']"
ART0014,Confluent Reports Record Revenue Growth,Confluent,2020-01-15,Artificial Intelligence,$260.0M,Community contribution aims to accelerate innovation and adoption.,https://technews.example.com/articles/14,Jane Doe,2488.0,Confluent,exact,260000000.0,2020-01-15,2020,1,1,Artificial Intelligence,Cloud Computing,1995,"London, UK",3884,False,,25,Small,True,"['ART0096', 'ART0348', 'ART0525']"
ART0015,Tesla Releases Open Source Framework,Tesla,27 Sep 2020,Enterprise Software,$25.200B,Company reaches important financial milestone ahead of schedule.,https://technews.example.com/articles/15,Sam Wilson,2183.0,Tesla,exact,25200000000.0,2020-09-27,2020,3,9,Software,Cloud Computing,2008,"London, UK",5691,True,,12,Small,False,"['ART0577', 'ART0155', 'ART0547']"
ART0016,Palantir Unveils Next-Generation Platform,Palantir,20 Apr 2020,AI & ML,$1.030B,Financial results exceed analyst expectations across all key metrics.,https://technews.example.com/articles/16,Jane Doe,1074.0,Palantir,exact,1030000000.0,2020-04-20,2020,2,4,Artificial Intelligence,Cloud Computing,2005,"Berlin, Germany",42306,True,,15,Large,True,"['ART0037', 'ART0329', 'ART0436']"
ART0017,SpaceX Launches New AI-Powered Product,SpaceX,"July 24, 2021",FinTech,$3.900B,Financial results exceed analyst expectations across all key metrics.,https://technews.example.com/articles/17,Jane Doe,2471.0,SpaceX,exact,3900000000.0,2021-07-24,2021,3,7,Financial Technology,AI/ML,2016,"Berlin, Germany",31018,False,,5,Large,True,"['ART0417', 'ART0097', 'ART0037']"
ART0018,Tesla CEO Discusses Future of AI,Tesla,04/30/2020,Big Data,,New product features leverage cutting-edge AI technology to solve customer problems.,https://technews.example.com/articles/18,Jane Doe,739.0,Tesla,exact,,2020-04-30,2020,2,4,Big Data,Cloud Computing,2008,"London, UK",5691,True,,12,Small,False,"['ART0406', 'ART0296', 'ART0293']"
ART0019,Confluent Unveils Next-Generation Platform,Confluent,2023-01-15,Data Analytics,"$790,000,000",Community contribution aims to accelerate innovation and adoption.,https://technews.example.com/articles/19,John Smith,780.0,Confluent,exact,790000000.0,2023-01-15,2023,1,1,Data Analytics,Cloud Computing,1995,"London, UK",3884,False,,28,Small,False,"['ART0440', 'ART0014', 'ART0547']"
ART0020,DataRobot Raises Series D Funding Round,DataRobot,10/14/2023,Big Data,"£299,212,598",Company reaches important financial milestone ahead of schedule.,https://technews.example.com/articles/20,,1795.0,DataRobot,exact,379999999.0,2023-10-14,2023,4,10,Big Data,Cloud Computing,2012,"New York, NY",23471,True,,11,Medium,False,"['ART0338', 'ART0319', 'ART0386']"
ART0021,Databricks Reports Record Revenue Growth,Databricks,03 Oct 2023,Data Analytics,"¥360,000,000,000",Strategic acquisition strengthens competitive position and technology capabilities.,https://technews.example.com/articles/21,John Smith,,Databricks,exact,2400000000.0,2023-10-03,2023,4,10,Data Analytics,Data Analytics,2003,"Berlin, Germany",17962,True,DATA,20,Medium,False,"['ART0356', 'ART0175', 'ART0342']"
ART0022,DataRobot Faces Regulatory Scrutiny,DataRobot,2020-07-23,Software,$170.0M,Financial results exceed analyst expectations across all key metrics.,https://technews.example.com/articles/22,Alex Johnson,2294.0,DataRobot,exact,170000000.0,2020-07-23,2020,3,7,Software,Cloud Computing,2012,"New York, NY",23471,True,,8,Medium,False,"['ART0034', 'ART0699', 'ART0343']"
ART0023,Elastic Unveils Next-Generation Platform,Elastic,2021-09-11T00:00:00Z,SaaS,$0.930 billion,Investors show strong confidence in the company's growth trajectory and market position.,https://technews.example.com/articles/23,John Smith,1136.0,Elastic,exact,930000000.0,2021-09-11,2021,3,9,Software,Cybersecurity,2016,"San Francisco, CA",24508,True,ELAS,5,Medium,False,"['ART0660', 'ART0490', 'ART0344']"
ART0024,Databricks Expands into European Market,Databricks,05/23/2023,Data Analytics,$2.150B,Company reaches important financial milestone ahead of schedule.,https://technews.example.com/articles/24,Sam Wilson,680.0,Databricks,exact,2150000000.0,2023-05-23,2023,2,5,Data Analytics,Data Analytics,2003,"Berlin, Germany",17962,True,DATA,20,Medium,False,"['ART0676', 'ART0160', 'ART0276']"
ART0025,OpenAI Acquires Competitor for Undisclosed Sum,OpenAI,24 Sep 2020,Financial Technology,Not disclosed,Investors show strong confidence in the company's growth trajectory and market position.,https://technews.example.com/articles/25,,2734.0,OpenAI,exact,,2020-09-24,2020,3,9,Financial Technology,Data Analytics,2006,"Austin, TX",12793,False,OPEN,14,Medium,False,"['ART0283', 'ART0582', 'ART0714']"
ART0026,Anthropic Acquires Competitor for Undisclosed Sum,Anthropic,2023-04-07T00:00:00Z,Cloud Computing,Not disclosed,Strategic acquisition strengthens competitive position and technology capabilities.,https://technews.example.com/articles/26,Jane Doe,921.0,Anthropic,exact,,2023-04-07,2023,2,4,Cloud Computing,FinTech,2006,"San Francisco, CA",43747,False,,17,Large,False,"['ART0631', 'ART0047', 'ART0044']"
ART0027,Airbnb Releases Open Source Framework,Airbnb,2022-04-12T00:00:00Z,Cloud Computing,,New product features leverage cutting-edge AI technology to solve customer problems.,https://technews.example.com/articles/27,,2186.0,Airbnb,exact,,2022-04-12,2022,2,4,Cloud Computing,Data Analytics,1999,"London, UK",19967,False,,23,Medium,False,"['ART0697', 'ART0094', 'ART0192']"
ART0028,NVIDIA Expands into European Market,NVIDIA,22 Nov 2020,AI & ML,$12.600B,Major partnership validates technology and opens new revenue opportunities.,https://technews.example.com/articles/28,Alex Johnson,1432.0,NVIDIA,exact,12600000000.0,2020-11-22,2020,4,11,Artificial Intelligence,AI/ML,2017,"London, UK",22031,False,,3,Medium,True,"['ART0548', 'ART0546', 'ART0066']"
ART0029,NVIDIA Announces Breakthrough in Large Language Models,NVIDIA,09/13/2023,Big Data,"€36,818,181,818",Company reaches important financial milestone ahead of schedule.,https://technews.example.com/articles/29,,2696.0,NVIDIA,exact,40499999999.0,2023-09-13,2023,3,9,Big Data,AI/ML,2017,"London, UK",22031,False,,6,Medium,True,"['ART0554', 'ART0154', 'ART0183']"
ART0030,Stripe Announces Breakthrough in Large Language Models,Stripe,24-08-2020,Cloud,Not disclosed,Platform improvements deliver enhanced performance and new capabilities.,https://technews.example.com/articles/30,Alex Johnson,2594.0,Stripe,exact,,2020-08-24,2020,3,8,Cloud Computing,Data Analytics,2002,"Seattle, WA",36348,True,STRI,18,Large,False,"['ART0500', 'ART0318', 'ART0235']"
