article_id,title,company_id,published_date,year,quarter,month,category,category_standardized,is_ai_related,summary,url,author,match_type
ART0001,Scale AI Raises Series D Funding Round,Scale AI,21 Feb 2020,,,,Financial Technology,Financial Technology,True,The company demonstrated significant advances in model performance and efficiency.,https://technews.example.com/articles/1,John Smith,exact
ART0002,DataRobot Announces Breakthrough in Large Language Models,DataRobot,02/23/2023,2023.0,1.0,2.0,Software,Software,False,Strategic acquisition strengthens competitive position and technology capabilities.,https://technews.example.com/articles/2,Alex Johnson,exact
ART0003,Meta AI Raises Series D Funding Round,Meta AI,2022-02-17,2022.0,1.0,2.0,Analytics,Data Analytics,False,Leadership outlines vision for responsible AI development and deployment.,https://technews.example.com/articles/3,John Smith,exact
ART0004,Confluent Reports Record Revenue Growth,Confluent,2023-12-13,2023.0,4.0,12.0,Artificial Intelligence,Artificial Intelligence,True,Investors show strong confidence in the company's growth trajectory and market position.,https://technews.example.com/articles/4,Sam Wilson,exact
ART0005,Amazon Web Services Acquires Competitor for Undisclosed Sum,Amazon Web Services,12/28/2021,2021.0,4.0,12.0,Financial Technology,Financial Technology,False,Leadership outlines vision for responsible AI development and deployment.,https://technews.example.com/articles/5,Alex Johnson,exact
ART0006,NVIDIA Achieves Profitability Milestone,NVIDIA,2021-10-26,2021.0,4.0,10.0,FinTech,Financial Technology,True,Financial results exceed analyst expectations across all key metrics.,https://technews.example.com/articles/6,,exact
ART0007,Tesla Achieves Profitability Milestone,Tesla,"October 19, 2022",2022.0,4.0,10.0,Security,Cyber Security,False,Leadership outlines vision for responsible AI development and deployment.,https://technews.example.com/articles/7,,exact
ART0008,Microsoft Releases Open Source Framework,Microsoft,2022-10-07,2022.0,4.0,10.0,Artificial Intelligence,Artificial Intelligence,True,Leadership outlines vision for responsible AI development and deployment.,https://technews.example.com/articles/8,Sam Wilson,exact
ART0009,MongoDB Expands into European Market,MongoDB,2023-02-07,2023.0,1.0,2.0,AI & ML,Artificial Intelligence,True,Leadership outlines vision for responsible AI development and deployment.,https://technews.example.com/articles/9,Jane Doe,exact
ART0010,MongoDB Launches New AI-Powered Product,MongoDB,2022-11-05,2022.0,4.0,11.0,Finance,Financial Technology,False,New product features leverage cutting-edge AI technology to solve customer problems.,https://technews.example.com/articles/10,,exact
ART0011,OpenAI Faces Regulatory Scrutiny,OpenAI,"October 25, 2021",2021.0,4.0,10.0,AI/ML,Artificial Intelligence,True,Regulatory concerns focus on data privacy and market competition issues.,https://technews.example.com/articles/11,John Smith,exact
ART0012,Cloudflare Raises Series D Funding Round,Cloudflare,12/26/2022,2022.0,4.0,12.0,Cloud Computing,Cloud Computing,False,Community contribution aims to accelerate innovation and adoption.,https://technews.example.com/articles/12,,exact
ART0013,Uber Achieves Profitability Milestone,Uber,23-08-2023,2023.0,3.0,8.0,Security,Cyber Security,False,Strategic acquisition strengthens competitive position and technology capabilities.,https://technews.example.com/articles/13,John Smith,exact
ART0014,Confluent Reports Record Revenue Growth,Confluent,2020-01-15,2020.0,1.0,1.0,Artificial Intelligence,Artificial Intelligence,True,Community contribution aims to accelerate innovation and adoption.,https://technews.example.com/articles/14,Jane Doe,exact
ART0015,Tesla Releases Open Source Framework,Tesla,27 Sep 2020,,,,Enterprise Software,Software,False,Company reaches important financial milestone ahead of schedule.,https://technews.example.com/articles/15,Sam Wilson,exact
ART0016,Palantir Unveils Next-Generation Platform,Palantir,20 Apr 2020,,,,AI & ML,Artificial Intelligence,True,Financial results exceed analyst expectations across all key metrics.,https://technews.example.com/articles/16,Jane Doe,exact
ART0017,SpaceX Launches New AI-Powered Product,SpaceX,"July 24, 2021",2021.0,3.0,7.0,FinTech,Financial Technology,True,Financial results exceed analyst expectations across all key metrics.,https://technews.example.com/articles/17,Jane Doe,exact
ART0018,Tesla CEO Discusses Future of AI,Tesla,04/30/2020,2020.0,2.0,4.0,Big Data,Big Data,False,New product features leverage cutting-edge AI technology to solve customer problems.,https://technews.example.com/articles/18,Jane Doe,exact
ART0019,Confluent Unveils Next-Generation Platform,Confluent,2023-01-15,2023.0,1.0,1.0,Data Analytics,Data Analytics,False,Community contribution aims to accelerate innovation and adoption.,https://technews.example.com/articles/19,John Smith,exact
ART0020,DataRobot Raises Series D Funding Round,DataRobot,10/14/2023,2023.0,4.0,10.0,Big Data,Big Data,False,Company reaches important financial milestone ahead of schedule.,https://technews.example.com/articles/20,,exact
