article_id,company_id,raw_revenue_string,published_date
ART0001,Scale AI,,21 Feb 2020
ART0003,Meta AI,,2022-02-17
ART0005,Amazon Web Services,Not disclosed,12/28/2021
ART0008,Microsoft,,2022-10-07
ART0012,Cloudflare,,12/26/2022
ART0018,Tesla,,04/30/2020
ART0025,OpenAI,Not disclosed,24 Sep 2020
ART0026,Anthropic,Not disclosed,2023-04-07T00:00:00Z
ART0027,Airbnb,,2022-04-12T00:00:00Z
ART0030,Stripe,Not disclosed,24-08-2020
ART0032,DataRobot,Not disclosed,2023-09-20
ART0035,Microsoft,,04/04/2020
ART0037,Palantir,Not disclosed,09 Aug 2022
ART0042,DataRobot,,"February 25, 2020"
ART0043,Uber,Not disclosed,"March 09, 2021"
ART0044,Anthropic,Not disclosed,04 Apr 2021
ART0047,Anthropic,Not disclosed,"December 27, 2022"
ART0048,Scale AI,,12/19/2023
ART0050,Databricks,Not disclosed,2021-07-26T00:00:00Z
ART0052,MongoDB,Not disclosed,21 May 2022
ART0057,NVIDIA,Not disclosed,"February 16, 2023"
ART0062,Databricks,,07/06/2020
ART0063,Scale AI,,"July 05, 2020"
ART0064,Anthropic,,29-06-2020
ART0065,Scale AI,,04/15/2020
ART0067,Cloudflare,,2021-08-20T00:00:00Z
ART0076,Palantir,Not disclosed,18-04-2023
ART0083,Stripe,,29 Mar 2021
ART0084,Cloudflare,,07/18/2020
ART0089,Databricks,,16 Sep 2020
ART0092,Scale AI,Not disclosed,03 Feb 2023
ART0095,Snowflake,Not disclosed,2020-07-31T00:00:00Z
ART0098,Amazon Web Services,Not disclosed,30 Sep 2021
ART0103,DataRobot,,13-11-2023
ART0105,Amazon Web Services,,09 Nov 2020
ART0106,Scale AI,Not disclosed,"November 05, 2020"
ART0107,Palantir,,2020-03-18
ART0110,DataRobot,Not disclosed,16 Jul 2023
ART0111,Microsoft,Not disclosed,2020-06-15T00:00:00Z
ART0123,Confluent,,11/11/2021
ART0125,Scale AI,Not disclosed,2021-07-13
ART0127,Snowflake,,19 May 2023
ART0134,Microsoft,,2020-06-25
ART0135,Scale AI,,"July 10, 2022"
ART0136,Amazon Web Services,Not disclosed,12/23/2023
ART0139,Snowflake,,29 May 2020
ART0140,Airbnb,,24-09-2020
ART0143,Snowflake,Not disclosed,2020-01-17
ART0145,Uber,Not disclosed,2021-11-25T00:00:00Z
ART0146,Palantir,Not disclosed,2023-05-26T00:00:00Z
ART0148,DataRobot,,27 Jun 2021
ART0150,MongoDB,Not disclosed,23 Aug 2022
ART0151,Elastic,Not disclosed,16 Oct 2023
ART0152,Stripe,Not disclosed,2021-12-15T00:00:00Z
ART0153,Google DeepMind,Not disclosed,24 Jun 2022
ART0154,NVIDIA,Not disclosed,2023-10-03T00:00:00Z
ART0156,Scale AI,,2021-04-20T00:00:00Z
ART0160,Databricks,Not disclosed,2021-09-10T00:00:00Z
ART0162,Airbnb,Not disclosed,2023-12-08T00:00:00Z
ART0164,Anthropic,Not disclosed,2020-09-27T00:00:00Z
ART0166,Microsoft,,"August 15, 2023"
ART0167,Scale AI,Not disclosed,08/30/2020
ART0171,Snowflake,,2020-05-04T00:00:00Z
ART0174,Palantir,Not disclosed,2020-07-08T00:00:00Z
ART0176,Scale AI,Not disclosed,23-09-2021
ART0178,Cloudflare,,02 Sep 2023
ART0182,Amazon Web Services,,2020-07-16T00:00:00Z
ART0183,NVIDIA,,2023-11-01
ART0190,Snowflake,,07-01-2022
ART0191,Elastic,,2023-05-07T00:00:00Z
ART0193,SpaceX,,2022-09-18
ART0194,Uber,Not disclosed,"June 24, 2023"
ART0195,Amazon Web Services,Not disclosed,15-10-2021
ART0196,Tesla,Not disclosed,01/22/2023
ART0197,Cloudflare,,21-07-2023
ART0201,Google DeepMind,Not disclosed,17-10-2020
ART0203,Elastic,,08/04/2022
ART0205,Meta AI,,"October 05, 2023"
ART0208,Airbnb,,09/19/2022
ART0214,NVIDIA,,27-12-2023
ART0215,Uber,Not disclosed,23 Jul 2021
ART0216,Tesla,Not disclosed,03-07-2021
ART0218,Google DeepMind,Not disclosed,08-01-2022
ART0227,Snowflake,,11/13/2022
ART0229,Cloudflare,Not disclosed,2022-12-07T00:00:00Z
ART0235,Stripe,,"September 08, 2023"
ART0238,Microsoft,,08/11/2020
ART0244,Anthropic,,2023-06-22T00:00:00Z
ART0245,Tesla,Not disclosed,12/12/2022
ART0248,Confluent,Not disclosed,11 Dec 2023
ART0255,Palantir,,05/09/2022
ART0256,Anthropic,,11-02-2020
ART0260,Cloudflare,,"September 23, 2021"
ART0265,MongoDB,,26 Jan 2020
ART0266,Meta AI,,25-07-2020
ART0267,DataRobot,Not disclosed,26 Oct 2023
ART0271,Airbnb,,"October 31, 2022"
ART0276,Databricks,Not disclosed,27 Dec 2023
ART0279,Airbnb,,14-04-2023
ART0280,MongoDB,,2022-04-26
ART0281,Cloudflare,Not disclosed,07/16/2023
ART0282,Google DeepMind,,"June 12, 2023"
ART0283,OpenAI,Not disclosed,12/23/2022
ART0284,Confluent,,2020-12-08
ART0287,Meta AI,,"June 01, 2021"
ART0288,Microsoft,,2020-08-02T00:00:00Z
ART0289,Tesla,Not disclosed,"December 11, 2023"
ART0291,Databricks,,2020-04-12
ART0296,Scale AI,,2020-10-31T00:00:00Z
ART0297,NVIDIA,Not disclosed,2021-07-23
ART0298,Palantir,,"October 17, 2022"
ART0302,Stripe,,2022-04-28
ART0309,Elastic,,27 Jan 2020
ART0319,DataRobot,,"July 30, 2021"
ART0323,Stripe,Not disclosed,19 Sep 2020
ART0325,Databricks,Not disclosed,02 Oct 2020
ART0339,OpenAI,,"August 22, 2023"
ART0342,Databricks,,2022-05-17T00:00:00Z
ART0344,Elastic,,28 Nov 2023
ART0348,Confluent,Not disclosed,12-12-2021
ART0349,Snowflake,Not disclosed,2020-08-27T00:00:00Z
ART0353,Anthropic,,2022-01-30T00:00:00Z
ART0354,Microsoft,,"December 12, 2022"
ART0356,Databricks,Not disclosed,09-06-2023
ART0361,Uber,,"August 09, 2021"
ART0362,Stripe,Not disclosed,19 Aug 2021
ART0366,Cloudflare,Not disclosed,12-01-2023
ART0372,NVIDIA,Not disclosed,2020-11-04
ART0379,Tesla,,"November 12, 2023"
ART0381,Elastic,Not disclosed,2022-07-18
ART0388,Amazon Web Services,Not disclosed,"May 13, 2023"
ART0395,Google DeepMind,,16 Mar 2023
ART0401,Amazon Web Services,Not disclosed,08/04/2021
ART0405,Uber,Not disclosed,2023-10-20T00:00:00Z
ART0407,Elastic,Not disclosed,08/30/2020
ART0409,Google DeepMind,,09/03/2022
ART0414,Microsoft,,26-04-2022
ART0415,Meta AI,,21 Aug 2020
ART0417,Meta AI,,2021-02-19
ART0419,Anthropic,,2023-03-29T00:00:00Z
ART0422,SpaceX,,10-10-2021
ART0423,Tesla,,2020-08-30
ART0425,Stripe,Not disclosed,22 Mar 2022
ART0426,Anthropic,,"October 05, 2020"
ART0434,Snowflake,,05/16/2021
ART0436,Palantir,,2020-09-26
ART0438,Snowflake,Not disclosed,2023-05-22T00:00:00Z
ART0440,Elastic,Not disclosed,04/28/2021
ART0444,Anthropic,Not disclosed,2023-01-29
ART0447,Google DeepMind,,"August 08, 2023"
ART0448,Amazon Web Services,Not disclosed,2023-05-23
ART0449,Meta AI,,13 Sep 2022
ART0450,Cloudflare,,21 Sep 2023
ART0451,SpaceX,Not disclosed,26-08-2021
