article_id,company_id,published_date,year,quarter,month,arr_usd,raw_revenue_string
ART0002,DataRobot,02/23/2023,2023,1,2,309999999.0,"£244,094,488"
ART0004,Confluent,2023-12-13,2023,4,12,980000000.0,$980.0M
ART0006,NVIDIA,2021-10-26,2021,4,10,16800000000.0,$16.800B
ART0007,Tesla,"October 19, 2022",2022,4,10,75000000000.0,75000.0M USD
ART0009,MongoDB,2023-02-07,2023,1,2,1480000000.0,$1.480 billion
ART0010,MongoDB,2022-11-05,2022,4,11,1380000000.0,"€1,254,545,455"
ART0011,OpenAI,"October 25, 2021",2021,4,10,320000000.0,$320.0M
ART0013,Uber,23-08-2023,2023,3,8,32000000000.0,$32.000B
ART0014,Confluent,2020-01-15,2020,1,1,260000000.0,$260.0M
ART0015,Tesla,27 Sep 2020,2020,3,9,25200000000.0,$25.200B
ART0016,Palantir,20 Apr 2020,2020,2,4,1030000000.0,$1.030B
ART0017,SpaceX,"July 24, 2021",2021,3,7,3900000000.0,$3.900B
ART0019,Confluent,2023-01-15,2023,1,1,790000000.0,"$790,000,000"
ART0020,DataRobot,10/14/2023,2023,4,10,379999999.0,"£299,212,598"
ART0021,Databricks,03 Oct 2023,2023,4,10,2400000000.0,"¥360,000,000,000"
ART0022,DataRobot,2020-07-23,2020,3,7,170000000.0,$170.0M
ART0023,Elastic,2021-09-11T00:00:00Z,2021,3,9,930000000.0,$0.930 billion
ART0024,Databricks,05/23/2023,2023,2,5,2150000000.0,$2.150B
ART0028,NVIDIA,22 Nov 2020,2020,4,11,12600000000.0,$12.600B
ART0029,NVIDIA,09/13/2023,2023,3,9,40499999999.0,"€36,818,181,818"
ART0031,Meta AI,03/26/2023,2023,1,3,1200000000.0,"€1,090,909,091"
ART0033,SpaceX,15 Feb 2022,2022,1,2,5000000000.0,$5.000 billion
ART0034,DataRobot,"October 21, 2021",2021,4,10,275000000.0,$275.0M
ART0036,NVIDIA,05 Sep 2023,2023,3,9,40500000000.0,$38475.0M - $42525.0M
ART0038,Cloudflare,04-05-2021,2021,2,4,620000000.0,"€563,636,364"
ART0039,Microsoft,23 Feb 2022,2022,1,2,61000000000.0,$57950.0M - $64050.0M
ART0040,SpaceX,11 Apr 2023,2023,2,4,7600000000.0,$7.600 billion
ART0041,DataRobot,09/26/2022,2022,3,9,304999999.0,"£240,157,480"
ART0045,Cloudflare,2020-08-22T00:00:00Z,2020,3,8,455000000.0,$455.0 million
ART0046,Confluent,"February 07, 2022",2022,1,2,600000000.0,$0.600 billion
ART0049,NVIDIA,"July 25, 2021",2021,3,7,16000000000.0,"¥2,400,000,000,000"
ART0051,Scale AI,"October 02, 2022",2022,4,10,570000000.0,$0.570 billion
ART0053,Stripe,02 Jan 2023,2023,1,1,2300000000.0,2300.0M USD
ART0054,Tesla,10-04-2021,2021,4,10,54000000000.0,"$54,000,000,000"
ART0055,Scale AI,2020-07-29,2020,3,7,135000000.0,$135.0 million
ART0056,Meta AI,"March 31, 2022",2022,1,3,700000000.0,$700.0 million
ART0058,Meta AI,07/05/2023,2023,3,7,1400000000.0,$1330.0M - $1470.0M
ART0059,Palantir,"May 01, 2023",2023,2,5,1920000000.0,$1.920B
ART0060,SpaceX,01/20/2023,2023,1,1,7000000000.0,$7000.0 million
ART0061,Snowflake,"September 11, 2020",2020,3,9,730000000.0,730.0M USD
ART0066,NVIDIA,20-11-2020,2020,4,11,12600000000.0,$12.600B
ART0068,Microsoft,"July 19, 2021",2021,3,7,55000000000.0,$55.000 billion
ART0069,Microsoft,"January 08, 2023",2023,1,1,71000000000.0,$71.000B
ART0070,SpaceX,13 Oct 2021,2021,4,10,4300000000.0,$4300.0 million
ART0071,Palantir,"December 13, 2022",2022,4,12,1700000000.0,"¥255,000,000,000"
ART0072,Scale AI,03 Nov 2021,2021,4,11,340000000.0,$340.0M
ART0073,Google DeepMind,20 Jul 2020,2020,3,7,145000000.0,"$145,000,000"
ART0074,SpaceX,2021-05-15T00:00:00Z,2021,2,5,3450000000.0,$3450.0 million
ART0075,Cloudflare,10/20/2020,2020,4,10,500000000.0,"¥75,000,000,000"
ART0077,Airbnb,28 Aug 2021,2021,3,8,4200000000.0,"$4,200,000,000"
ART0078,DataRobot,14-10-2022,2022,4,10,295000000.0,295.0M USD
ART0079,Scale AI,09 Jul 2023,2023,3,7,735000000.0,$735.0 million
ART0080,Amazon Web Services,2020-09-27T00:00:00Z,2020,3,9,45500000000.0,$45.500 billion
ART0081,Meta AI,06/03/2020,2020,2,6,144999999.0,"£114,173,228"
ART0082,Airbnb,08-10-2023,2023,3,8,7400000000.0,"¥1,110,000,000,000"
ART0085,Cloudflare,15-04-2022,2022,2,4,874999999.0,"€795,454,545"
ART0086,Anthropic,07/19/2021,2021,3,7,45000000.0,"$45,000,000"
ART0087,Tesla,02/09/2023,2023,1,2,82000000000.0,$82000.0 million
ART0088,Microsoft,05/28/2021,2021,2,5,52500000000.0,$52.500B
ART0090,MongoDB,2023-06-13,2023,2,6,1560000000.0,$1.560B
ART0091,Google DeepMind,2021-10-21T00:00:00Z,2021,4,10,410000000.0,"¥61,500,000,000"
ART0093,Stripe,02 Oct 2021,2021,4,10,1550000000.0,$1.550B
ART0094,Airbnb,2023-02-13,2023,1,2,6600000000.0,"£5,196,850,394"
ART0096,Confluent,2022-05-28T00:00:00Z,2022,2,5,655000000.0,$0.655 billion
ART0097,OpenAI,2020-10-20T00:00:00Z,2020,4,10,95000000.0,$90.2M - $99.8M
ART0099,Palantir,"May 18, 2022",2022,2,5,1550000000.0,"£1,220,472,441"
ART0100,Cloudflare,28-09-2023,2023,3,9,1260000000.0,$1.260 billion
ART0101,Stripe,"January 16, 2020",2020,1,1,720000000.0,$720.0M
ART0102,OpenAI,08-06-2020,2020,3,8,75000000.0,$75.0M
ART0104,Stripe,2020-06-05T00:00:00Z,2020,2,6,780000000.0,$780.0 million
ART0108,Palantir,08/27/2023,2023,3,8,2100000000.0,"¥315,000,000,000"
ART0109,MongoDB,2020-12-19,2020,4,12,650000000.0,"€590,909,091"
ART0112,Microsoft,10 Dec 2023,2023,4,12,78000000000.0,"$78,000,000,000"
ART0113,Stripe,01/28/2021,2021,1,1,1050000000.0,"€954,545,455"
ART0114,Amazon Web Services,2023-11-19T00:00:00Z,2023,4,11,95000000000.0,"¥14,250,000,000,000"
ART0115,NVIDIA,04-05-2021,2021,2,4,14999999999.0,"£11,811,023,622"
ART0116,Tesla,10-10-2020,2020,4,10,26000000000.0,$24700.0M - $27300.0M
ART0117,Amazon Web Services,2022-07-09T00:00:00Z,2022,3,7,78000000000.0,"£61,417,322,835"
ART0118,Airbnb,27-02-2020,2020,1,2,2600000000.0,"$2,600,000,000"
ART0119,Cloudflare,2023-06-14,2023,2,6,1180000000.0,$1.180B
ART0120,SpaceX,"June 29, 2023",2023,2,6,7600000000.0,$7220.0M - $7980.0M
ART0121,SpaceX,13-06-2023,2023,2,6,7600000000.0,$7.600B
ART0122,Elastic,"March 10, 2022",2022,1,3,1010000000.0,"$1,010,000,000"
ART0124,Palantir,08/23/2021,2021,3,8,1320000000.0,$1.320B
ART0126,MongoDB,18 Jun 2020,2020,2,6,540000000.0,"€490,909,091"
ART0128,Databricks,2020-04-27,2020,2,4,420000000.0,$420.0 million
ART0129,Microsoft,28 Apr 2021,2021,2,4,52500000000.0,"¥7,875,000,000,000"
ART0130,Confluent,20-12-2022,2022,4,12,735000000.0,"$735,000,000"
ART0131,Elastic,20-06-2021,2021,2,6,890000000.0,$890.0 million
ART0132,Google DeepMind,16 Oct 2021,2021,4,10,410000000.0,$410.0 million
ART0133,Airbnb,2021-04-04,2021,2,4,3800000000.0,"€3,454,545,455"
ART0137,DataRobot,2020-07-10T00:00:00Z,2020,3,7,170000000.0,170.0M USD
ART0138,Scale AI,26 Jun 2021,2021,2,6,260000000.0,$0.260 billion
ART0141,Anthropic,2022-02-25T00:00:00Z,2022,1,2,95000000.0,$95.0M
ART0142,Cloudflare,2022-10-15,2022,4,10,1010000000.0,"$1,010,000,000"
ART0144,Elastic,2022-01-12T00:00:00Z,2022,1,1,1010000000.0,1010.0M USD
ART0147,Elastic,2023-12-22T00:00:00Z,2023,4,12,1250000000.0,$1.250B
ART0149,Microsoft,2021-05-11,2021,2,5,52499999999.0,"£41,338,582,677"
ART0155,OpenAI,"November 19, 2020",2020,4,11,95000000.0,$0.095 billion
ART0157,Anthropic,2021-09-03T00:00:00Z,2021,3,9,45000000.0,$42.8M - $47.2M
ART0158,Stripe,28 Jul 2022,2022,3,7,1900000000.0,1900.0M USD
ART0159,SpaceX,2021-11-02,2021,4,11,4300000000.0,$4.300B
ART0161,Uber,26 Oct 2022,2022,4,10,25000000000.0,$25.000B
ART0163,MongoDB,2023-03-18T00:00:00Z,2023,1,3,1480000000.0,1480.0M USD
ART0165,Tesla,2020-05-29,2020,2,5,24500000000.0,$24.500B
ART0168,SpaceX,02/15/2022,2022,1,2,5000000000.0,$5.000B
ART0169,NVIDIA,2020-05-17,2020,2,5,11200000000.0,"$11,200,000,000"
ART0170,Anthropic,28-10-2022,2022,4,10,250000000.0,$0.250 billion
ART0172,Stripe,"May 02, 2022",2022,2,5,1820000000.0,$1.820B
ART0173,Anthropic,"April 25, 2022",2022,2,4,130000000.0,$130.0M
ART0175,Tesla,28 Aug 2020,2020,3,8,25200000000.0,$23940.0M - $26460.0M
ART0177,Confluent,2020-10-25,2020,4,10,340000000.0,$340.0M
ART0179,Microsoft,"January 24, 2023",2023,1,1,71000000000.0,$71.000B
ART0180,Microsoft,2021-04-18,2021,2,4,52500000000.0,"$52,500,000,000"
ART0181,Cloudflare,2020-01-14T00:00:00Z,2020,1,1,390000000.0,$370.5M - $409.5M
ART0184,Cloudflare,13-08-2023,2023,3,8,1260000000.0,$1.260B
ART0185,Google DeepMind,2021-07-28T00:00:00Z,2021,3,7,340000000.0,$340.0M
ART0186,Google DeepMind,2020-11-28T00:00:00Z,2020,4,11,175000000.0,"£137,795,276"
ART0187,MongoDB,2021-12-09,2021,4,12,990000000.0,990.0M USD
ART0188,OpenAI,"July 13, 2021",2021,3,7,240000000.0,240.0M USD
ART0189,DataRobot,19 May 2021,2021,2,5,245000000.0,"£192,913,386"
ART0192,Confluent,13 Dec 2020,2020,4,12,340000000.0,"¥51,000,000,000"
ART0198,Elastic,06 Jan 2022,2022,1,1,1010000000.0,$1.010B
ART0199,Confluent,19 Oct 2023,2023,4,10,980000000.0,$980.0M
ART0200,Elastic,2023-11-09T00:00:00Z,2023,4,11,1249999999.0,"€1,136,363,636"
ART0202,Stripe,2021-09-06,2021,3,9,1380000000.0,$1.380B
ART0204,Confluent,2022-03-07,2022,1,3,600000000.0,$570.0M - $630.0M
ART0206,Snowflake,2023-04-23,2023,2,4,2520000000.0,$2520.0 million
ART0207,SpaceX,2020-10-09T00:00:00Z,2020,4,10,2600000000.0,$2600.0 million
ART0209,Confluent,27-03-2021,2021,1,3,390000000.0,"¥58,500,000,000"
ART0210,Elastic,2020-08-19T00:00:00Z,2020,3,8,700000000.0,"¥105,000,000,000"
ART0211,Scale AI,2021-09-01,2021,3,9,305000000.0,$305.0M
ART0212,DataRobot,05/26/2022,2022,2,5,315000000.0,$299.2M - $330.8M
ART0213,Snowflake,18-03-2023,2023,1,3,2350000000.0,$2.350 billion
ART0217,Scale AI,2020-02-03,2020,1,2,100000000.0,$100.0 million
ART0219,Scale AI,2023-12-12,2023,4,12,760000000.0,$722.0M - $798.0M
ART0220,Stripe,14 May 2022,2022,2,5,1820000000.0,$1.820B
ART0221,Microsoft,29 Sep 2020,2020,3,9,44500000000.0,"¥6,675,000,000,000"
ART0222,SpaceX,"November 07, 2023",2023,4,11,8500000000.0,"£6,692,913,386"
ART0223,NVIDIA,2023-05-15T00:00:00Z,2023,2,5,36000000000.0,$34200.0M - $37800.0M
ART0224,Snowflake,04/21/2020,2020,2,4,620000000.0,$589.0M - $651.0M
ART0225,Uber,11-05-2022,2022,4,11,25000000000.0,"$25,000,000,000"
ART0226,Anthropic,03-11-2022,2022,1,3,95000000.0,$90.2M - $99.8M
ART0228,SpaceX,2022-07-17T00:00:00Z,2022,3,7,6100000000.0,"$6,100,000,000"
ART0230,Confluent,"June 06, 2020",2020,2,6,284999999.0,"€259,090,909"
ART0231,Meta AI,2022-11-08,2022,4,11,1130000000.0,"£889,763,780"
