article_id,title,company_name,published_date,category,revenue,summary,url,author,word_count,company_id,match_type
ART0502,Mistral AI Unveils Next-Generation Platform,Mistral AI,2024-03-05T00:00:00Z,Big Data,"$95,000,000",Platform improvements deliver enhanced performance and new capabilities.,https://technews.example.com/articles/502,,2554.0,,
ART0517,Perplexity AI Partners with Major Enterprise Client,Perplexity AI,09-10-2024,Analytics,"¥12,750,000,000",Financial results exceed analyst expectations across all key metrics.,https://technews.example.com/articles/517,Alex Johnson,1753.0,,
ART0518,Cohere Expands into European Market,Cohere,2023-09-23,Financial Technology,$87.2M - $96.4M,Community contribution aims to accelerate innovation and adoption.,https://technews.example.com/articles/518,Sam Wilson,1850.0,,
ART0536,Cohere Acquires Competitor for Undisclosed Sum,Cohere,"November 05, 2023",Artificial Intelligence,"£91,023,622",The company demonstrated significant advances in model performance and efficiency.,https://technews.example.com/articles/536,John Smith,2418.0,,
ART0544,Perplexity AI Unveils Next-Generation Platform,Perplexity AI,2024-03-19T00:00:00Z,Financial Technology,35.0M USD,Major partnership validates technology and opens new revenue opportunities.,https://technews.example.com/articles/544,,2414.0,,
ART0545,xAI Launches New AI-Powered Product,xAI,10-28-2024,Cloud Computing,"€163,636,364",Regulatory concerns focus on data privacy and market competition issues.,https://technews.example.com/articles/545,Alex Johnson,2923.0,,
ART0579,Cohere Raises Series D Funding Round,Cohere,2024-05-22T00:00:00Z,SaaS,Not disclosed,Major partnership validates technology and opens new revenue opportunities.,https://technews.example.com/articles/579,Alex Johnson,1405.0,,
ART0595,Cohere Unveils Next-Generation Platform,Cohere,2022-04-09,Security,"€42,954,545",Major partnership validates technology and opens new revenue opportunities.,https://technews.example.com/articles/595,Alex Johnson,1005.0,,
ART0604,Cohere Releases Open Source Framework,Cohere,06-09-2024,Financial Technology,135.0M USD,Regulatory concerns focus on data privacy and market competition issues.,https://technews.example.com/articles/604,Sam Wilson,2698.0,,
ART0624,Hugging Face Launches New AI-Powered Product,Hugging Face,05/14/2024,Cloud Computing,82.0M USD,Company reaches important financial milestone ahead of schedule.,https://technews.example.com/articles/624,Sam Wilson,2486.0,,
ART0627,xAI Partners with Major Enterprise Client,xAI,"January 04, 2024",Data Analytics,"¥3,000,000,000",Strategic acquisition strengthens competitive position and technology capabilities.,https://technews.example.com/articles/627,Sam Wilson,,,
ART0630,xAI Acquires Competitor for Undisclosed Sum,xAI,2024-02-19,AI/ML,,Company reaches important financial milestone ahead of schedule.,https://technews.example.com/articles/630,,940.0,,
ART0632,Mistral AI Announces Breakthrough in Large Language Models,Mistral AI,12-11-2024,Financial Technology,"$260,000,000",The company demonstrated significant advances in model performance and efficiency.,https://technews.example.com/articles/632,Alex Johnson,1367.0,,
ART0641,Perplexity AI Unveils Next-Generation Platform,Perplexity AI,"August 19, 2024",Machine Learning,$85.0M,Platform improvements deliver enhanced performance and new capabilities.,https://technews.example.com/articles/641,,2044.0,,
ART0646,Hugging Face Faces Regulatory Scrutiny,Hugging Face,06-04-2024,Data Analytics,,Major partnership validates technology and opens new revenue opportunities.,https://technews.example.com/articles/646,Alex Johnson,2174.0,,
ART0648,xAI Achieves Profitability Milestone,xAI,"May 25, 2024",Analytics,$47.5M - $52.5M,International expansion strategy focuses on enterprise customers in key markets.,https://technews.example.com/articles/648,Sam Wilson,2295.0,,
ART0662,Hugging Face Raises Series D Funding Round,Hugging Face,"June 19, 2023",AI/ML,"$55,760,000",International expansion strategy focuses on enterprise customers in key markets.,https://technews.example.com/articles/662,John Smith,2720.0,,
ART0685,Mistral AI Expands into European Market,Mistral AI,03-09-2024,InfoSec,"€86,363,636",Investors show strong confidence in the company's growth trajectory and market position.,https://technews.example.com/articles/685,,2038.0,,
ART0688,Mistral AI Partners with Major Enterprise Client,Mistral AI,06-06-2023,Analytics,$87.2M - $96.4M,New product features leverage cutting-edge AI technology to solve customer problems.,https://technews.example.com/articles/688,John Smith,1235.0,,
ART0691,Mistral AI Raises Series D Funding Round,Mistral AI,2024-12-13T00:00:00Z,AI & ML,$260.0M,Investors show strong confidence in the company's growth trajectory and market position.,https://technews.example.com/articles/691,Alex Johnson,2411.0,,
ART0692,Cohere Unveils Next-Generation Platform,Cohere,06-10-2024,AI & ML,"$105,000,000",Regulatory concerns focus on data privacy and market competition issues.,https://technews.example.com/articles/692,Jane Doe,2893.0,,
ART0715,Cohere Faces Regulatory Scrutiny,Cohere,06/26/2024,Cloud Services,,Major partnership validates technology and opens new revenue opportunities.,https://technews.example.com/articles/715,,1857.0,,
ART0739,xAI Releases Open Source Framework,xAI,"September 04, 2024",Software,,Major partnership validates technology and opens new revenue opportunities.,https://technews.example.com/articles/739,Alex Johnson,1521.0,,
ART0749,xAI Faces Regulatory Scrutiny,xAI,2024-11-07,Machine Learning,$180.0 million,International expansion strategy focuses on enterprise customers in key markets.,https://technews.example.com/articles/749,Jane Doe,2458.0,,
ART0750,Cohere Reports Record Revenue Growth,Cohere,07/15/2024,Big Data,$0.135B,Regulatory concerns focus on data privacy and market competition issues.,https://technews.example.com/articles/750,Alex Johnson,2831.0,,
