article_id,title,company_name,published_date,category,arr_usd,summary,url,industry,founded_year,headquarters,employee_count,is_public,stock_ticker,company_age,company_size_category,embedding
ART0004,Confluent Reports Record Revenue Growth,Confluent,2023-12-13,Artificial Intelligence,980000000.0,Investors show strong confidence in the company's growth trajectory and market position.,https://technews.example.com/articles/4,Cloud Computing,1995,"London, UK",3884,False,,28,Small,
ART0009,MongoDB Expands into European Market,MongoDB,2023-02-07,AI & ML,1480000000.0,Leadership outlines vision for responsible AI development and deployment.,https://technews.example.com/articles/9,SaaS,2008,"Austin, TX",16952,False,MONG,15,Medium,
ART0029,NVIDIA Announces Breakthrough in Large Language Models,NVIDIA,09/13/2023,Big Data,40499999999.0,Company reaches important financial milestone ahead of schedule.,https://technews.example.com/articles/29,AI/ML,2017,"London, UK",22031,False,,6,Medium,
ART0033,SpaceX Achieves Profitability Milestone,SpaceX,15 Feb 2022,Cloud,5000000000.0,International expansion strategy focuses on enterprise customers in key markets.,https://technews.example.com/articles/33,AI/ML,2016,"Berlin, Germany",31018,False,,6,Large,
ART0036,NVIDIA Launches New AI-Powered Product,NVIDIA,05 Sep 2023,AI/ML,40500000000.0,Major partnership validates technology and opens new revenue opportunities.,https://technews.example.com/articles/36,AI/ML,2017,"London, UK",22031,False,,6,Medium,
ART0040,SpaceX CEO Discusses Future of AI,SpaceX,11 Apr 2023,AI/ML,7600000000.0,Leadership outlines vision for responsible AI development and deployment.,https://technews.example.com/articles/40,AI/ML,2016,"Berlin, Germany",31018,False,,7,Large,
ART0051,Scale AI Unveils Next-Generation Platform,Scale AI,"October 02, 2022",AI/ML,570000000.0,Company reaches important financial milestone ahead of schedule.,https://technews.example.com/articles/51,AI/ML,2003,"Berlin, Germany",23379,False,,19,Medium,
ART0056,Meta AI Raises Series D Funding Round,Meta AI,"March 31, 2022",Machine Learning,700000000.0,Regulatory concerns focus on data privacy and market competition issues.,https://technews.example.com/articles/56,Data Analytics,2001,"Seattle, WA",20240,True,,21,Medium,
ART0060,SpaceX Raises Series D Funding Round,SpaceX,01/20/2023,Cloud Computing,7000000000.0,International expansion strategy focuses on enterprise customers in key markets.,https://technews.example.com/articles/60,AI/ML,2016,"Berlin, Germany",31018,False,,7,Large,
ART0071,Palantir Raises Series D Funding Round,Palantir,"December 13, 2022",AI/ML,1700000000.0,International expansion strategy focuses on enterprise customers in key markets.,https://technews.example.com/articles/71,Cloud Computing,2005,"Berlin, Germany",42306,True,,17,Large,
ART0079,Scale AI Raises Series D Funding Round,Scale AI,09 Jul 2023,Artificial Intelligence,735000000.0,Investors show strong confidence in the company's growth trajectory and market position.,https://technews.example.com/articles/79,AI/ML,2003,"Berlin, Germany",23379,False,,20,Medium,
ART0085,Cloudflare Faces Regulatory Scrutiny,Cloudflare,15-04-2022,Artificial Intelligence,874999999.0,Investors show strong confidence in the company's growth trajectory and market position.,https://technews.example.com/articles/85,Cybersecurity,1998,"Austin, TX",4422,False,CLOU,24,Small,
ART0100,Cloudflare Releases Open Source Framework,Cloudflare,28-09-2023,Artificial Intelligence,1260000000.0,Financial results exceed analyst expectations across all key metrics.,https://technews.example.com/articles/100,Cybersecurity,1998,"Austin, TX",4422,False,CLOU,25,Small,
ART0119,Cloudflare Partners with Major Enterprise Client,Cloudflare,2023-06-14,Machine Learning,1180000000.0,International expansion strategy focuses on enterprise customers in key markets.,https://technews.example.com/articles/119,Cybersecurity,1998,"Austin, TX",4422,False,CLOU,25,Small,
ART0120,SpaceX Achieves Profitability Milestone,SpaceX,"June 29, 2023",Machine Learning,7600000000.0,Regulatory concerns focus on data privacy and market competition issues.,https://technews.example.com/articles/120,AI/ML,2016,"Berlin, Germany",31018,False,,7,Large,
ART0121,SpaceX Announces Breakthrough in Large Language Models,SpaceX,13-06-2023,FinTech,7600000000.0,Community contribution aims to accelerate innovation and adoption.,https://technews.example.com/articles/121,AI/ML,2016,"Berlin, Germany",31018,False,,7,Large,
ART0122,Elastic Announces Breakthrough in Large Language Models,Elastic,"March 10, 2022",Artificial Intelligence,1010000000.0,Strategic acquisition strengthens competitive position and technology capabilities.,https://technews.example.com/articles/122,Cybersecurity,2016,"San Francisco, CA",24508,True,ELAS,6,Medium,
ART0142,Cloudflare Expands into European Market,Cloudflare,2022-10-15,Machine Learning,1010000000.0,The company demonstrated significant advances in model performance and efficiency.,https://technews.example.com/articles/142,Cybersecurity,1998,"Austin, TX",4422,False,CLOU,24,Small,
ART0168,SpaceX Releases Open Source Framework,SpaceX,02/15/2022,FinTech,5000000000.0,The company demonstrated significant advances in model performance and efficiency.,https://technews.example.com/articles/168,AI/ML,2016,"Berlin, Germany",31018,False,,6,Large,
ART0219,Scale AI Raises Series D Funding Round,Scale AI,2023-12-12,AI/ML,760000000.0,Company reaches important financial milestone ahead of schedule.,https://technews.example.com/articles/219,AI/ML,2003,"Berlin, Germany",23379,False,,20,Medium,
ART0222,SpaceX Faces Regulatory Scrutiny,SpaceX,"November 07, 2023",Cloud Services,8500000000.0,Strategic acquisition strengthens competitive position and technology capabilities.,https://technews.example.com/articles/222,AI/ML,2016,"Berlin, Germany",31018,False,,7,Large,
ART0223,NVIDIA Releases Open Source Framework,NVIDIA,2023-05-15T00:00:00Z,Finance,36000000000.0,Regulatory concerns focus on data privacy and market competition issues.,https://technews.example.com/articles/223,AI/ML,2017,"London, UK",22031,False,,6,Medium,
